Year,Round,Pick,Player,Team,Reg_Win,Reg_Loss,Reg_Tie,Reg_Games,Playoff_Seed,Playoff_Win,Playoff_Loss,Playoff_Games,Total_Win,Total_Loss,Total_Tie,Total_Games,Reg_Win%,Playoff_Win%,Total_Win%
2022,1,1,Dan,NoPoolIn2022,,,,,,,,,,,,,,,
2022,1,2,Brandon,NoPoolIn2022,,,,,,,,,,,,,,,
2022,1,3,JP,NoPoolIn2022,,,,,,,,,,,,,,,
2022,1,4,Jordan,NoPoolIn2022,,,,,,,,,,,,,,,
2022,1,5,Mike,NoPoolIn2022,,,,,,,,,,,,,,,
2022,1,6,Jackson,NoPoolIn2022,,,,,,,,,,,,,,,
2022,1,7,Alex,NoPoolIn2022,,,,,,,,,,,,,,,
2022,2,8,Alex,NoPoolIn2022,,,,,,,,,,,,,,,
2022,2,9,Jackson,NoPoolIn2022,,,,,,,,,,,,,,,
2022,2,10,Mike,NoPoolIn2022,,,,,,,,,,,,,,,
2022,2,11,Jordan,NoPoolIn2022,,,,,,,,,,,,,,,
2022,2,12,JP,NoPoolIn2022,,,,,,,,,,,,,,,
2022,2,13,Brandon,NoPoolIn2022,,,,,,,,,,,,,,,
2022,2,14,Dan,NoPoolIn2022,,,,,,,,,,,,,,,
2022,3,15,Dan,NoPoolIn2022,,,,,,,,,,,,,,,
2022,3,16,Brandon,NoPoolIn2022,,,,,,,,,,,,,,,
2022,3,17,JP,NoPoolIn2022,,,,,,,,,,,,,,,
2022,3,18,Jordan,NoPoolIn2022,,,,,,,,,,,,,,,
2022,3,19,Mike,NoPoolIn2022,,,,,,,,,,,,,,,
2022,3,20,Jackson,NoPoolIn2022,,,,,,,,,,,,,,,
2022,3,21,Alex,NoPoolIn2022,,,,,,,,,,,,,,,
2022,4,22,Alex,NoPoolIn2022,,,,,,,,,,,,,,,
2022,4,23,Jackson,NoPoolIn2022,,,,,,,,,,,,,,,
2022,4,24,Mike,NoPoolIn2022,,,,,,,,,,,,,,,
